id,name,amazon_categ_id:id,sequence,max_occurs,min_occurs,uom_type_id:id
GritRating,GritRating,amazon_ept_v10.tools,501,,,
Horsepower,Horsepower,amazon_ept_v10.tools,502,,,
Diameter,Diameter,amazon_ept_v10.tools,504,,,amazon_ept_v10.LengthUnitOfMeasure
Length,Length,amazon_ept_v10.tools,506,,,amazon_ept_v10.LengthUnitOfMeasure
Width,Width,amazon_ept_v10.tools,508,,,amazon_ept_v10.LengthUnitOfMeasure
Height,Height,amazon_ept_v10.tools,510,,,amazon_ept_v10.LengthUnitOfMeasure
Weight,Weight,amazon_ept_v10.tools,507,,,amazon_ept_v10.WeightUnitOfMeasure
PowerSource,PowerSource,amazon_ept_v10.tools,508,2,,
Wattage,Wattage,amazon_ept_v10.tools,509,,,
Voltage,Voltage,amazon_ept_v10.tools,510,,,
NumberOfItemsInPackage,NumberOfItemsInPackage,amazon_ept_v10.tools,511,,,
Parentage,Parentage,amazon_ept_v10.clothingaccessories,512,,,
FurDescription,FurDescription,amazon_ept_v10.clothingaccessories,513,,,
ButtonQuantity,ButtonQuantity,amazon_ept_v10.clothingaccessories,514,,,
PocketDescription,PocketDescription,amazon_ept_v10.clothingaccessories,515,,,
NeckSize,NeckSize,amazon_ept_v10.clothingaccessories,516,,,amazon_ept_v10.ClothingSizeUnitOfMeasure
LegStyle,LegStyle,amazon_ept_v10.clothingaccessories,517,,,
NumberOfPieces,NumberOfPieces,amazon_ept_v10.clothingaccessories,518,,,
Size,Size,amazon_ept_v10.clothingaccessories,519,,,
MaterialAndFabric,MaterialAndFabric,amazon_ept_v10.clothingaccessories,520,4,,
MaterialOpacity,MaterialOpacity,amazon_ept_v10.clothingaccessories,521,,,
ControlType,ControlType,amazon_ept_v10.clothingaccessories,522,,,
FrontPleatType,FrontPleatType,amazon_ept_v10.clothingaccessories,523,,,
NeckStyle,NeckStyle,amazon_ept_v10.clothingaccessories,524,,,
BeltStyle,BeltStyle,amazon_ept_v10.clothingaccessories,525,,,
WheelType,WheelType,amazon_ept_v10.clothingaccessories,526,,,
