id,name,uom_type_id:id
square-inamazon_ept_v10_AreaUnitOfMeasure,square-in,amazon_ept_v10.AreaUnitOfMeasure
square-ftamazon_ept_v10_AreaUnitOfMeasure,square-ft,amazon_ept_v10.AreaUnitOfMeasure
square-cmamazon_ept_v10_AreaUnitOfMeasure,square-cm,amazon_ept_v10.AreaUnitOfMeasure
square-mamazon_ept_v10_AreaUnitOfMeasure,square-m,amazon_ept_v10.AreaUnitOfMeasure
cubic_feet_per_minuteamazon_ept_v10_AirFlowDisplacementUnitOfMeasure,cubic_feet_per_minute,amazon_ept_v10.AirFlowDisplacementUnitOfMeasure
cubic_feet_per_houramazon_ept_v10_AirFlowDisplacementUnitOfMeasure,cubic_feet_per_hour,amazon_ept_v10.AirFlowDisplacementUnitOfMeasure
minutesamazon_ept_v10_BurnTimeUnitOfMeasure,minutes,amazon_ept_v10.BurnTimeUnitOfMeasure
hoursamazon_ept_v10_BurnTimeUnitOfMeasure,hours,amazon_ept_v10.BurnTimeUnitOfMeasure
cycles			amazon_ept_v10_BurnTimeUnitOfMeasure,cycles			,amazon_ept_v10.BurnTimeUnitOfMeasure
MMamazon_ept_v10_LengthUnitOfMeasure,MM,amazon_ept_v10.LengthUnitOfMeasure
CMamazon_ept_v10_LengthUnitOfMeasure,CM,amazon_ept_v10.LengthUnitOfMeasure
Mamazon_ept_v10_LengthUnitOfMeasure,M,amazon_ept_v10.LengthUnitOfMeasure
INamazon_ept_v10_LengthUnitOfMeasure,IN,amazon_ept_v10.LengthUnitOfMeasure
FTamazon_ept_v10_LengthUnitOfMeasure,FT,amazon_ept_v10.LengthUnitOfMeasure
inchesamazon_ept_v10_LengthUnitOfMeasure,inches,amazon_ept_v10.LengthUnitOfMeasure
feetamazon_ept_v10_LengthUnitOfMeasure,feet,amazon_ept_v10.LengthUnitOfMeasure
metersamazon_ept_v10_LengthUnitOfMeasure,meters,amazon_ept_v10.LengthUnitOfMeasure
decimetersamazon_ept_v10_LengthUnitOfMeasure,decimeters,amazon_ept_v10.LengthUnitOfMeasure
centimetersamazon_ept_v10_LengthUnitOfMeasure,centimeters,amazon_ept_v10.LengthUnitOfMeasure
millimetersamazon_ept_v10_LengthUnitOfMeasure,millimeters,amazon_ept_v10.LengthUnitOfMeasure
micrometersamazon_ept_v10_LengthUnitOfMeasure,micrometers,amazon_ept_v10.LengthUnitOfMeasure
nanometersamazon_ept_v10_LengthUnitOfMeasure,nanometers,amazon_ept_v10.LengthUnitOfMeasure
picometersamazon_ept_v10_LengthUnitOfMeasure,picometers,amazon_ept_v10.LengthUnitOfMeasure
lumensamazon_ept_v10_LuminanceUnitOfMeasure,lumens,amazon_ept_v10.LuminanceUnitOfMeasure
candelaamazon_ept_v10_LuminousIntensityUnitOfMeasure,candela,amazon_ept_v10.LuminousIntensityUnitOfMeasure
cubic-cmamazon_ept_v10_VolumeUnitOfMeasure,cubic-cm,amazon_ept_v10.VolumeUnitOfMeasure
cubic-ftamazon_ept_v10_VolumeUnitOfMeasure,cubic-ft,amazon_ept_v10.VolumeUnitOfMeasure
cubic-inamazon_ept_v10_VolumeUnitOfMeasure,cubic-in,amazon_ept_v10.VolumeUnitOfMeasure
cubic-mamazon_ept_v10_VolumeUnitOfMeasure,cubic-m,amazon_ept_v10.VolumeUnitOfMeasure
cubic-ydamazon_ept_v10_VolumeUnitOfMeasure,cubic-yd,amazon_ept_v10.VolumeUnitOfMeasure
cupamazon_ept_v10_VolumeUnitOfMeasure,cup,amazon_ept_v10.VolumeUnitOfMeasure
fluid-ozamazon_ept_v10_VolumeUnitOfMeasure,fluid-oz,amazon_ept_v10.VolumeUnitOfMeasure
gallonamazon_ept_v10_VolumeUnitOfMeasure,gallon,amazon_ept_v10.VolumeUnitOfMeasure
literamazon_ept_v10_VolumeUnitOfMeasure,liter,amazon_ept_v10.VolumeUnitOfMeasure
milliliteramazon_ept_v10_VolumeUnitOfMeasure,milliliter,amazon_ept_v10.VolumeUnitOfMeasure
ounceamazon_ept_v10_VolumeUnitOfMeasure,ounce,amazon_ept_v10.VolumeUnitOfMeasure
pintamazon_ept_v10_VolumeUnitOfMeasure,pint,amazon_ept_v10.VolumeUnitOfMeasure
quartamazon_ept_v10_VolumeUnitOfMeasure,quart,amazon_ept_v10.VolumeUnitOfMeasure
litersamazon_ept_v10_VolumeUnitOfMeasure,liters,amazon_ept_v10.VolumeUnitOfMeasure
decilitersamazon_ept_v10_VolumeUnitOfMeasure,deciliters,amazon_ept_v10.VolumeUnitOfMeasure
centilitersamazon_ept_v10_VolumeUnitOfMeasure,centiliters,amazon_ept_v10.VolumeUnitOfMeasure
millilitersamazon_ept_v10_VolumeUnitOfMeasure,milliliters,amazon_ept_v10.VolumeUnitOfMeasure
microlitersamazon_ept_v10_VolumeUnitOfMeasure,microliters,amazon_ept_v10.VolumeUnitOfMeasure
nanolitersamazon_ept_v10_VolumeUnitOfMeasure,nanoliters,amazon_ept_v10.VolumeUnitOfMeasure
picolitersamazon_ept_v10_VolumeUnitOfMeasure,picoliters,amazon_ept_v10.VolumeUnitOfMeasure
GRamazon_ept_v10_WeightUnitOfMeasure,GR,amazon_ept_v10.WeightUnitOfMeasure
KGamazon_ept_v10_WeightUnitOfMeasure,KG,amazon_ept_v10.WeightUnitOfMeasure
OZamazon_ept_v10_WeightUnitOfMeasure,OZ,amazon_ept_v10.WeightUnitOfMeasure
LBamazon_ept_v10_WeightUnitOfMeasure,LB,amazon_ept_v10.WeightUnitOfMeasure
MGamazon_ept_v10_WeightUnitOfMeasure,MG,amazon_ept_v10.WeightUnitOfMeasure
MMamazon_ept_v10_JewelryLengthUnitOfMeasure,MM,amazon_ept_v10.JewelryLengthUnitOfMeasure
CMamazon_ept_v10_JewelryLengthUnitOfMeasure,CM,amazon_ept_v10.JewelryLengthUnitOfMeasure
INamazon_ept_v10_JewelryLengthUnitOfMeasure,IN,amazon_ept_v10.JewelryLengthUnitOfMeasure
GRamazon_ept_v10_JewelryWeightUnitOfMeasure,GR,amazon_ept_v10.JewelryWeightUnitOfMeasure
KGamazon_ept_v10_JewelryWeightUnitOfMeasure,KG,amazon_ept_v10.JewelryWeightUnitOfMeasure
OZamazon_ept_v10_JewelryWeightUnitOfMeasure,OZ,amazon_ept_v10.JewelryWeightUnitOfMeasure
LBamazon_ept_v10_JewelryWeightUnitOfMeasure,LB,amazon_ept_v10.JewelryWeightUnitOfMeasure
CARATSamazon_ept_v10_JewelryWeightUnitOfMeasure,CARATS,amazon_ept_v10.JewelryWeightUnitOfMeasure
DWTamazon_ept_v10_JewelryWeightUnitOfMeasure,DWT,amazon_ept_v10.JewelryWeightUnitOfMeasure
degreesamazon_ept_v10_DegreeUnitOfMeasure,degrees,amazon_ept_v10.DegreeUnitOfMeasure
microradianamazon_ept_v10_DegreeUnitOfMeasure,microradian,amazon_ept_v10.DegreeUnitOfMeasure
arc_minute			amazon_ept_v10_DegreeUnitOfMeasure,arc_minute			,amazon_ept_v10.DegreeUnitOfMeasure
arc_secamazon_ept_v10_DegreeUnitOfMeasure,arc_sec,amazon_ept_v10.DegreeUnitOfMeasure
milliradianamazon_ept_v10_DegreeUnitOfMeasure,milliradian,amazon_ept_v10.DegreeUnitOfMeasure
radians			amazon_ept_v10_DegreeUnitOfMeasure,radians			,amazon_ept_v10.DegreeUnitOfMeasure
turns				amazon_ept_v10_DegreeUnitOfMeasure,turns				,amazon_ept_v10.DegreeUnitOfMeasure
revolutions				amazon_ept_v10_DegreeUnitOfMeasure,revolutions				,amazon_ept_v10.DegreeUnitOfMeasure
TBamazon_ept_v10_MemorySizeUnitOfMeasure,TB,amazon_ept_v10.MemorySizeUnitOfMeasure
GBamazon_ept_v10_MemorySizeUnitOfMeasure,GB,amazon_ept_v10.MemorySizeUnitOfMeasure
MBamazon_ept_v10_MemorySizeUnitOfMeasure,MB,amazon_ept_v10.MemorySizeUnitOfMeasure
KBamazon_ept_v10_MemorySizeUnitOfMeasure,KB,amazon_ept_v10.MemorySizeUnitOfMeasure
KOamazon_ept_v10_MemorySizeUnitOfMeasure,KO,amazon_ept_v10.MemorySizeUnitOfMeasure
MOamazon_ept_v10_MemorySizeUnitOfMeasure,MO,amazon_ept_v10.MemorySizeUnitOfMeasure
GOamazon_ept_v10_MemorySizeUnitOfMeasure,GO,amazon_ept_v10.MemorySizeUnitOfMeasure
TOamazon_ept_v10_MemorySizeUnitOfMeasure,TO,amazon_ept_v10.MemorySizeUnitOfMeasure
bytesamazon_ept_v10_MemorySizeUnitOfMeasure,bytes,amazon_ept_v10.MemorySizeUnitOfMeasure
Hzamazon_ept_v10_FrequencyUnitOfMeasure,Hz,amazon_ept_v10.FrequencyUnitOfMeasure
KHzamazon_ept_v10_FrequencyUnitOfMeasure,KHz,amazon_ept_v10.FrequencyUnitOfMeasure
MHzamazon_ept_v10_FrequencyUnitOfMeasure,MHz,amazon_ept_v10.FrequencyUnitOfMeasure
GHzamazon_ept_v10_FrequencyUnitOfMeasure,GHz,amazon_ept_v10.FrequencyUnitOfMeasure
ampsamazon_ept_v10_AmperageUnitOfMeasure,amps,amazon_ept_v10.AmperageUnitOfMeasure
kiloampsamazon_ept_v10_AmperageUnitOfMeasure,kiloamps,amazon_ept_v10.AmperageUnitOfMeasure
microampsamazon_ept_v10_AmperageUnitOfMeasure,microamps,amazon_ept_v10.AmperageUnitOfMeasure
milliampsamazon_ept_v10_AmperageUnitOfMeasure,milliamps,amazon_ept_v10.AmperageUnitOfMeasure
nanoampsamazon_ept_v10_AmperageUnitOfMeasure,nanoamps,amazon_ept_v10.AmperageUnitOfMeasure
picoampsamazon_ept_v10_AmperageUnitOfMeasure,picoamps,amazon_ept_v10.AmperageUnitOfMeasure
secamazon_ept_v10_TimeUnitOfMeasure,sec,amazon_ept_v10.TimeUnitOfMeasure
minamazon_ept_v10_TimeUnitOfMeasure,min,amazon_ept_v10.TimeUnitOfMeasure
hramazon_ept_v10_TimeUnitOfMeasure,hr,amazon_ept_v10.TimeUnitOfMeasure
daysamazon_ept_v10_TimeUnitOfMeasure,days,amazon_ept_v10.TimeUnitOfMeasure
hoursamazon_ept_v10_TimeUnitOfMeasure,hours,amazon_ept_v10.TimeUnitOfMeasure
minutesamazon_ept_v10_TimeUnitOfMeasure,minutes,amazon_ept_v10.TimeUnitOfMeasure
secondsamazon_ept_v10_TimeUnitOfMeasure,seconds,amazon_ept_v10.TimeUnitOfMeasure
millisecondsamazon_ept_v10_TimeUnitOfMeasure,milliseconds,amazon_ept_v10.TimeUnitOfMeasure
microsecondsamazon_ept_v10_TimeUnitOfMeasure,microseconds,amazon_ept_v10.TimeUnitOfMeasure
nanosecondsamazon_ept_v10_TimeUnitOfMeasure,nanoseconds,amazon_ept_v10.TimeUnitOfMeasure
picosecondsamazon_ept_v10_TimeUnitOfMeasure,picoseconds,amazon_ept_v10.TimeUnitOfMeasure
minutesamazon_ept_v10_BatteryAverageLifeUnitOfMeasure,minutes,amazon_ept_v10.BatteryAverageLifeUnitOfMeasure
hoursamazon_ept_v10_BatteryAverageLifeUnitOfMeasure,hours,amazon_ept_v10.BatteryAverageLifeUnitOfMeasure
daysamazon_ept_v10_BatteryAverageLifeUnitOfMeasure,days,amazon_ept_v10.BatteryAverageLifeUnitOfMeasure
weeksamazon_ept_v10_BatteryAverageLifeUnitOfMeasure,weeks,amazon_ept_v10.BatteryAverageLifeUnitOfMeasure
monthsamazon_ept_v10_BatteryAverageLifeUnitOfMeasure,months,amazon_ept_v10.BatteryAverageLifeUnitOfMeasure
yearsamazon_ept_v10_BatteryAverageLifeUnitOfMeasure,years,amazon_ept_v10.BatteryAverageLifeUnitOfMeasure
KHzamazon_ept_v10_DataTransferUnitOfMeasure,KHz,amazon_ept_v10.DataTransferUnitOfMeasure
MHzamazon_ept_v10_DataTransferUnitOfMeasure,MHz,amazon_ept_v10.DataTransferUnitOfMeasure
GHzamazon_ept_v10_DataTransferUnitOfMeasure,GHz,amazon_ept_v10.DataTransferUnitOfMeasure
Mbpsamazon_ept_v10_DataTransferUnitOfMeasure,Mbps,amazon_ept_v10.DataTransferUnitOfMeasure
Gbpsamazon_ept_v10_DataTransferUnitOfMeasure,Gbps,amazon_ept_v10.DataTransferUnitOfMeasure
ohmsamazon_ept_v10_ResistanceUnitOfMeasure,ohms,amazon_ept_v10.ResistanceUnitOfMeasure
daysamazon_ept_v10_DateUnitOfMeasure,days,amazon_ept_v10.DateUnitOfMeasure
weeksamazon_ept_v10_DateUnitOfMeasure,weeks,amazon_ept_v10.DateUnitOfMeasure
monthsamazon_ept_v10_DateUnitOfMeasure,months,amazon_ept_v10.DateUnitOfMeasure
yearsamazon_ept_v10_DateUnitOfMeasure,years,amazon_ept_v10.DateUnitOfMeasure
minutesamazon_ept_v10_AssemblyTimeUnitOfMeasure,minutes,amazon_ept_v10.AssemblyTimeUnitOfMeasure
hoursamazon_ept_v10_AssemblyTimeUnitOfMeasure,hours,amazon_ept_v10.AssemblyTimeUnitOfMeasure
daysamazon_ept_v10_AssemblyTimeUnitOfMeasure,days,amazon_ept_v10.AssemblyTimeUnitOfMeasure
weeksamazon_ept_v10_AssemblyTimeUnitOfMeasure,weeks,amazon_ept_v10.AssemblyTimeUnitOfMeasure
monthsamazon_ept_v10_AssemblyTimeUnitOfMeasure,months,amazon_ept_v10.AssemblyTimeUnitOfMeasure
