id,name,amazon_categ_id:id,sequence
ColorNamethreedprinting,ColorName,amazon_ept_v10.amazon_threedprinting,1
Materialthreedprinting,Material,amazon_ept_v10.amazon_threedprinting,2
Material-Colorthreedprinting,Material-Color,amazon_ept_v10.amazon_threedprinting,3
Material-Sizethreedprinting,Material-Size,amazon_ept_v10.amazon_threedprinting,4
SizeNamethreedprinting,SizeName,amazon_ept_v10.amazon_threedprinting,5
SizeName-ColorNamethreedprinting,SizeName-ColorName,amazon_ept_v10.amazon_threedprinting,6
Sizecloth_access,Size,amazon_ept_v10.clothingaccessories,7
Colorcloth_access,Color,amazon_ept_v10.clothingaccessories,8
SizeColorcloth_access,SizeColor,amazon_ept_v10.clothingaccessories,9
Sizebeauty,Size,amazon_ept_v10.amazon_beauty,10
Capacitybeauty,Capacity,amazon_ept_v10.amazon_beauty,11
Colorbeauty,Color,amazon_ept_v10.amazon_beauty,12
Size-Colorbeauty,Size-Color,amazon_ept_v10.amazon_beauty,13
Scentbeauty,Scent,amazon_ept_v10.amazon_beauty,14
Size-Scentbeauty,Size-Scent,amazon_ept_v10.amazon_beauty,15
PatternNamebeauty,PatternName,amazon_ept_v10.amazon_beauty,16
Size-UnitCountbeauty,Size-UnitCount,amazon_ept_v10.amazon_beauty,17
Sizeclothing,Size,amazon_ept_v10.amazon_product_clothing,18
Colorclothing,Color,amazon_ept_v10.amazon_product_clothing,19
SizeColorclothing,SizeColor,amazon_ept_v10.amazon_product_clothing,20
Color-Itempackagequantityclothing,Color-Itempackagequantity,amazon_ept_v10.amazon_product_clothing,21
Color-Materialclothing,Color-Material,amazon_ept_v10.amazon_product_clothing,22
Color-Patternnameclothing,Color-Patternname,amazon_ept_v10.amazon_product_clothing,23
ColorSizeclothing,ColorSize,amazon_ept_v10.amazon_product_clothing,24
Itempackagequantityclothing,Itempackagequantity,amazon_ept_v10.amazon_product_clothing,25
Itempackagequantity-Colorclothing,Itempackagequantity-Color,amazon_ept_v10.amazon_product_clothing,26
Itempackagequantity-Materialclothing,Itempackagequantity-Material,amazon_ept_v10.amazon_product_clothing,27
Itempackagequantity-Sizeclothing,Itempackagequantity-Size,amazon_ept_v10.amazon_product_clothing,28
Materialclothing,Material,amazon_ept_v10.amazon_product_clothing,29
Material-Colorclothing,Material-Color,amazon_ept_v10.amazon_product_clothing,30
Material-Patternnameclothing,Material-Patternname,amazon_ept_v10.amazon_product_clothing,31
Material-Sizeclothing,Material-Size,amazon_ept_v10.amazon_product_clothing,32
Patternnameclothing,Patternname,amazon_ept_v10.amazon_product_clothing,33
Patternname-Colorclothing,Patternname-Color,amazon_ept_v10.amazon_product_clothing,34
Patternname-Materialclothing,Patternname-Material,amazon_ept_v10.amazon_product_clothing,35
Patternname-Sizeclothing,Patternname-Size,amazon_ept_v10.amazon_product_clothing,36
Size-Materialclothing,Size-Material,amazon_ept_v10.amazon_product_clothing,37
Size-Patternnameclothing,Size-Patternname,amazon_ept_v10.amazon_product_clothing,38
Cupsizeclothing,Cupsize,amazon_ept_v10.amazon_product_clothing,39
Cupsize-Colorclothing,Cupsize-Color,amazon_ept_v10.amazon_product_clothing,40
Cupsize-Color-Sizeclothing,Cupsize-Color-Size,amazon_ept_v10.amazon_product_clothing,41
Cupsize-Sizeclothing,Cupsize-Size,amazon_ept_v10.amazon_product_clothing,42
Sizegourmet,Size,amazon_ept_v10.amazon_gourmet,43
Colorgourmet,Color,amazon_ept_v10.amazon_gourmet,44
Flavorgourmet,Flavor,amazon_ept_v10.amazon_gourmet,45
Flavor-Sizegourmet,Flavor-Size,amazon_ept_v10.amazon_gourmet,46
AgeGenderCategorysports,AgeGenderCategory,amazon_ept_v10.amazon_sports,47
Amperagesports,Amperage,amazon_ept_v10.amazon_sports,48
BikeRimSizesports,BikeRimSize,amazon_ept_v10.amazon_sports,49
BikeRimSizeMaterialsports,BikeRimSizeMaterial,amazon_ept_v10.amazon_sports,50
BootSizesports,BootSize,amazon_ept_v10.amazon_sports,51
BootSizeCalfSizesports,BootSizeCalfSize,amazon_ept_v10.amazon_sports,52
CalfSizesports,CalfSize,amazon_ept_v10.amazon_sports,53
Calibersports,Caliber,amazon_ept_v10.amazon_sports,54
CaliberRoundssports,CaliberRounds,amazon_ept_v10.amazon_sports,55
Capacitysports,Capacity,amazon_ept_v10.amazon_sports,56
Colorsports,Color,amazon_ept_v10.amazon_sports,57
ColorDesignsports,ColorDesign,amazon_ept_v10.amazon_sports,58
ColorFlavorsports,ColorFlavor,amazon_ept_v10.amazon_sports,59
ColorItemThicknesssports,ColorItemThickness,amazon_ept_v10.amazon_sports,60
ColorLengthsports,ColorLength,amazon_ept_v10.amazon_sports,61
ColorLensColorsports,ColorLensColor,amazon_ept_v10.amazon_sports,62
ColorQuantitysports,ColorQuantity,amazon_ept_v10.amazon_sports,63
ColorRoundssports,ColorRounds,amazon_ept_v10.amazon_sports,64
ColorShaftMaterialsports,ColorShaftMaterial,amazon_ept_v10.amazon_sports,65
ColorShaftTypesports,ColorShaftType,amazon_ept_v10.amazon_sports,66
ColorShapesports,ColorShape,amazon_ept_v10.amazon_sports,67
ColorSizesports,ColorSize,amazon_ept_v10.amazon_sports,68
ColorStylesports,ColorStyle,amazon_ept_v10.amazon_sports,69
ColorTensionLevelsports,ColorTensionLevel,amazon_ept_v10.amazon_sports,70
ColorWattagesports,ColorWattage,amazon_ept_v10.amazon_sports,71
ColorWeightsports,ColorWeight,amazon_ept_v10.amazon_sports,72
ColorWheelSizesports,ColorWheelSize,amazon_ept_v10.amazon_sports,73
ColorWidthsports,ColorWidth,amazon_ept_v10.amazon_sports,74
Curvaturesports,Curvature,amazon_ept_v10.amazon_sports,75
CurvatureHandsports,CurvatureHand,amazon_ept_v10.amazon_sports,76
Designsports,Design,amazon_ept_v10.amazon_sports,77
DesignFlavorsports,DesignFlavor,amazon_ept_v10.amazon_sports,78
DesignLengthsports,DesignLength,amazon_ept_v10.amazon_sports,79
DesignLensColorsports,DesignLensColor,amazon_ept_v10.amazon_sports,80
DesignShaftMaterialsports,DesignShaftMaterial,amazon_ept_v10.amazon_sports,81
DesignShaftTypesports,DesignShaftType,amazon_ept_v10.amazon_sports,82
DesignShapesports,DesignShape,amazon_ept_v10.amazon_sports,83
DesignSizesports,DesignSize,amazon_ept_v10.amazon_sports,84
DesignStylesports,DesignStyle,amazon_ept_v10.amazon_sports,85
DesignTensionLevelsports,DesignTensionLevel,amazon_ept_v10.amazon_sports,86
DesignWeightsports,DesignWeight,amazon_ept_v10.amazon_sports,87
DesignWheelSizesports,DesignWheelSize,amazon_ept_v10.amazon_sports,88
DesignWidthsports,DesignWidth,amazon_ept_v10.amazon_sports,89
Diametersports,Diameter,amazon_ept_v10.amazon_sports,90
DivingHoodThicknesssports,DivingHoodThickness,amazon_ept_v10.amazon_sports,91
FencingPommelTypesports,FencingPommelType,amazon_ept_v10.amazon_sports,92
FencingPommelTypeGripTypesports,FencingPommelTypeGripType,amazon_ept_v10.amazon_sports,93
Flavorsports,Flavor,amazon_ept_v10.amazon_sports,94
FlavorSizesports,FlavorSize,amazon_ept_v10.amazon_sports,95
GolfFlexsports,GolfFlex,amazon_ept_v10.amazon_sports,96
GolfFlexGolfLoftsports,GolfFlexGolfLoft,amazon_ept_v10.amazon_sports,97
GolfFlexMaterialsports,GolfFlexMaterial,amazon_ept_v10.amazon_sports,98
